Region/country/area,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
South Sudan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.27,0.02,0.29,0.1,0.0,0.44,12.78
Cuba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,10.4,11.0,1.8,13.2,28.47,62.61,31.22,57.67,28.98,12.0
Algeria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,3.3,63.0,239.1,93.0,25.0,0.0,0.0,0.0,12.0
El Salvador,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,10.86,1.11,97.63,56.85,279.14,38.82,58.65,10.17
South Africa,0.15,0.0,0.0,-0.15,0.0,0.0,0.0,0.0,0.0,1.98,3.94,5.8,250.65,901.42,189.08,822.65,1275.48,1354.06,103.08,1086.36,321.41,10.0
New Caledonia,0.02,0.03,0.01,0.0,0.07,0.01,0.19,0.0,0.04,2.1,0.53,0.0,0.0,0.25,3.35,3.3,17.22,12.13,35.45,20.72,30.4,9.76
Tonga,0.0,0.02,0.0,0.0,0.0,0.03,0.0,0.0,0.01,0.0,0.18,1.68,0.62,0.0,1.04,0.81,2.17,0.28,0.0,0.0,0.0,6.9
Albania,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.16,0.12,0.08,0.11,0.18,-0.05,0.0,0.0,13.0,7.0,2.0,5.6
Kosovo*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.85,4.65,0.0,3.4,0.0,4.15,5.6
Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.14,0.48,1.79,1.92,13.65,5.0
Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.03,0.02,0.07,0.08,0.14,0.02,0.02,0.06,3.35,0.53,0.01,0.0,0.04,5.0
Seychelles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.68,0.45,0.54,0.69,1.48,0.0,2.78,6.5,5.0
Maldives,0.0,0.0,0.0,0.0,0.01,0.04,0.02,0.0,0.07,0.03,0.01,1.14,0.43,2.13,0.92,2.69,3.3,5.69,4.12,6.1,4.1,5.0
Barbados,0.1,0.0,0.0,0.0,0.1,0.0,0.4,0.0,0.2,0.2,0.25,0.25,-1.07,0.86,1.8,11.85,1.46,0.85,15.96,15.94,14.78,4.95
Iraq,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.5,7.0,0.0,0.0,0.0,0.58,0.0,0.0,0.0,4.5
Comoros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Nigeria,0.14,0.0,0.0,-0.14,0.0,0.08,0.0,0.0,0.19,0.03,0.98,0.17,0.79,0.9,6.63,4.07,5.39,3.67,11.98,15.18,18.79,3.97
Mali,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.07,0.0,0.46,0.43,0.38,2.1,0.43,2.03,0.54,2.68,-0.29,0.9,49.9,0.0,3.9
Guatemala,0.05,0.05,0.01,0.03,0.04,0.04,0.03,0.09,0.08,0.12,0.18,0.74,1.04,7.87,82.88,0.0,7.5,0.0,0.0,0.5,0.0,3.5
