Region/country/area,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Greenland,22.3,22.3,22.3,22.3,22.97,22.97,22.97,26.98,33.78,33.78,39.43,39.43,48.75,48.75,48.75,48.75,48.75,48.75,48.8,48.8,48.86,48.93,48.95,49.07
Myanmar,36.35,35.6,37.18,31.92,49.19,47.43,48.35,49.54,53.45,66.25,74.76,75.98,76.39,73.85,69.41,64.84,64.85,58.15,53.83,52.6,44.49,49.5,49.06,49.06
Ireland,7.81,7.97,7.18,8.18,10.21,12.25,13.81,13.79,16.69,20.21,19.74,21.59,23.15,25.07,28.0,28.53,31.1,34.72,36.94,40.89,42.49,43.72,45.53,48.78
Tonga,0.66,0.66,0.97,0.97,0.73,0.73,0.96,0.96,0.96,1.03,1.03,2.42,13.76,17.81,15.01,19.64,22.9,30.43,31.3,35.26,35.26,31.67,47.27,48.37
Slovenia,32.9,31.87,32.86,33.33,33.46,33.32,33.88,34.28,36.3,36.85,35.48,36.23,38.09,39.83,40.69,42.29,39.84,40.88,38.83,39.47,41.02,41.76,43.99,47.77
Bulgaria,9.63,7.03,9.84,13.82,16.25,16.31,16.79,21.11,23.24,25.84,26.99,28.81,33.89,35.28,36.19,37.9,38.59,39.52,38.07,38.46,39.7,40.43,42.29,47.58
Venezuela,65.86,64.72,63.55,64.82,65.74,66.22,65.71,64.76,63.02,61.6,58.88,56.88,52.88,49.3,47.6,47.37,48.79,48.6,46.39,47.59,47.59,47.79,47.79,47.53
Hungary,0.8,0.8,1.26,1.37,2.98,4.9,5.02,5.34,6.69,8.64,9.59,9.22,7.7,8.9,11.81,12.47,11.97,13.77,17.55,22.89,28.24,33.74,40.51,47.13
French Guiana,51.22,51.22,51.22,51.22,51.19,50.84,50.58,50.58,46.33,46.15,50.47,52.6,52.71,52.75,49.5,49.66,47.48,47.47,47.47,48.3,46.7,46.74,46.75,46.75
Nicaragua,31.64,31.73,33.36,35.78,40.22,40.74,41.14,37.83,35.31,36.11,35.2,34.06,42.74,43.03,44.84,45.57,47.42,45.52,45.52,45.21,45.21,45.4,45.85,45.93
Sierra Leone,20.0,20.0,20.0,20.0,20.01,20.02,20.02,20.13,64.48,64.5,71.77,59.65,59.77,59.78,66.6,55.38,55.49,56.93,48.36,41.71,42.22,44.11,45.28,45.28
France,20.95,20.84,20.85,20.99,21.1,21.5,22.17,22.8,23.65,24.3,25.55,27.49,28.57,29.92,31.32,32.54,33.84,36.09,37.54,39.32,40.78,42.44,44.25,45.23
Bosnia and Herzegovina,40.72,40.72,40.72,40.73,41.2,41.2,41.2,41.2,41.68,41.68,43.62,43.65,43.67,42.8,43.02,43.12,40.81,40.62,41.63,42.2,42.49,43.53,44.1,44.45
Poland,2.74,2.98,2.93,2.98,3.02,3.38,3.57,4.0,4.73,5.3,6.53,8.74,11.6,14.28,15.66,18.54,20.68,18.63,19.28,21.55,24.86,31.15,40.35,44.18
Armenia,31.7,31.45,34.56,34.9,31.93,32.05,32.66,33.63,33.92,34.33,32.52,33.25,30.91,31.56,31.74,36.45,36.92,37.21,37.78,37.91,38.53,37.1,38.46,44.1
Peru,47.4,48.61,49.33,49.78,50.01,50.81,47.76,45.25,44.52,42.03,42.48,42.8,39.73,35.7,37.55,39.75,40.51,40.9,41.68,42.65,42.85,43.02,42.54,43.15
Zimbabwe,37.98,37.98,38.62,38.62,38.62,38.62,38.62,38.62,41.17,41.18,41.21,41.53,41.56,41.73,41.75,42.17,42.28,42.43,49.75,49.81,49.86,50.26,49.5,39.85
Djibouti,,,,,,,,,,,,,0.0,0.23,0.23,0.23,0.28,0.29,0.29,0.29,0.29,14.2,14.2,39.52
Palau,0.02,0.02,0.02,0.02,0.02,0.12,0.12,0.12,1.08,1.08,0.74,1.46,1.67,1.87,3.41,3.41,6.16,6.16,7.38,8.16,8.84,12.58,12.58,39.43
Guadeloupe,13.03,13.81,14.49,15.86,15.92,18.33,19.01,19.84,20.64,21.82,24.38,27.76,29.36,29.35,28.61,26.18,26.33,27.98,30.33,32.23,37.15,38.51,39.27,39.27
Samoa,31.09,31.09,31.09,31.09,31.09,31.14,25.67,25.7,25.7,25.7,32.17,31.23,31.8,19.36,23.76,26.93,33.19,36.48,36.78,37.88,38.48,38.48,38.48,38.48
Central African Republic,47.3,47.3,47.3,47.3,47.3,49.8,49.8,49.8,49.8,49.8,49.8,49.8,49.8,49.8,46.27,46.27,46.42,46.5,46.54,46.53,46.59,21.04,21.04,38.03
Togo,77.12,77.12,77.12,76.91,61.75,61.14,61.14,61.14,61.14,61.14,27.87,27.87,27.88,27.88,27.88,27.9,27.9,28.05,29.18,30.01,30.99,37.37,37.71,37.71
Jordan,0.87,0.87,0.81,0.81,0.81,0.77,0.81,0.78,0.67,0.65,0.54,0.49,0.49,0.51,0.41,4.58,12.01,14.68,20.2,24.46,34.3,38.21,38.14,37.08
Côte d'Ivoire,49.14,49.14,49.14,49.14,49.14,49.14,49.14,49.14,49.14,49.14,42.59,42.59,41.51,38.84,36.16,33.3,31.33,39.91,39.94,39.46,39.52,38.86,36.04,37.0
Serbia,19.54,19.18,18.83,17.58,17.05,42.33,42.22,37.51,30.39,29.35,32.59,32.83,33.29,32.76,33.36,33.41,33.72,33.45,35.26,36.92,37.05,37.23,35.98,36.83
Morocco,27.92,27.93,27.81,29.39,28.69,25.34,25.35,26.21,26.22,24.7,24.54,24.95,23.79,24.95,26.73,28.2,28.9,28.68,29.82,30.54,33.03,33.06,34.28,36.5
Papua New Guinea,41.39,41.42,41.42,42.12,42.13,45.28,44.91,46.03,46.55,39.16,39.81,35.03,35.56,35.52,34.5,34.84,34.74,33.67,33.67,33.41,31.96,32.0,32.21,36.05
Luxembourg,4.35,4.35,3.46,4.61,6.01,6.01,6.08,6.09,6.67,6.83,7.38,7.99,10.45,11.64,11.14,11.8,17.59,18.65,18.93,21.75,23.78,26.85,29.2,36.03
Faroe Islands,37.11,33.9,34.0,33.04,33.04,34.32,34.32,34.32,34.32,34.48,34.48,34.48,41.39,43.73,48.02,46.36,46.34,46.34,44.81,40.38,35.96,35.89,35.89,35.89
Argentina,35.92,34.52,35.01,34.98,35.4,35.52,35.77,36.35,34.37,33.99,33.24,33.49,32.77,29.71,28.63,30.9,30.7,29.1,29.32,31.21,32.94,34.46,34.66,35.26
Burkina Faso,40.0,40.0,40.0,17.58,15.07,13.6,12.44,12.59,12.54,12.54,13.3,10.6,9.07,13.32,11.72,11.44,11.66,20.32,23.57,21.14,21.23,19.15,23.99,35.18
India,21.18,21.8,21.24,22.88,23.84,24.84,26.02,25.91,26.86,25.41,25.17,24.54,23.28,22.54,22.88,22.72,24.77,27.11,28.13,29.02,29.91,31.71,33.85,35.16
Japan,9.11,11.11,11.04,11.22,11.28,11.53,11.88,11.75,11.87,11.95,12.5,12.75,12.95,14.95,17.51,20.65,22.32,24.34,25.99,28.47,30.16,31.85,33.31,34.84
Vanuatu,3.58,2.7,2.7,2.7,2.7,2.7,2.7,2.7,14.52,16.63,15.11,22.68,22.6,22.68,25.67,25.93,28.78,29.95,35.51,34.66,34.11,34.13,33.73,34.48
United Republic of Tanzania,80.08,80.08,70.83,71.15,71.15,64.64,64.67,58.33,56.96,54.68,54.41,44.09,39.91,38.48,40.09,41.58,38.27,38.45,33.91,34.1,34.27,34.37,34.4,34.4
Cyprus,,,,,0.12,0.11,0.11,0.19,0.77,0.86,6.23,8.83,10.04,11.31,12.83,13.88,14.3,15.55,16.11,17.68,21.06,24.47,28.54,34.29
Mauritania,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.03,9.05,8.8,11.27,14.32,14.32,21.23,20.78,20.78,19.46,19.65,33.98
Dominican Republic,15.4,14.6,16.21,14.46,14.86,13.35,13.48,13.73,14.35,15.65,15.64,16.2,18.15,17.13,17.51,18.04,20.85,22.49,23.14,25.77,26.45,28.26,31.17,33.94
"Bonaire, Sint Eustatius and Saba",,,,,,,,6.43,5.02,56.53,28.46,28.46,28.46,29.16,29.16,29.71,32.45,35.96,37.6,38.97,32.55,32.55,32.55,33.91
