Region/country/area,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Pakistan,5175.89,5314.11,5320.11,5901.11,6775.89,6777.29,6763.29,6798.03,6922.56,6932.22,7012.7,7025.53,7142.35,7564.39,7915.06,8126.43,8806.91,9222.92,12202.69,12344.77,12565.09,12887.42,13943.42
Philippines,3784.77,3866.85,4074.55,4509.55,4511.55,4545.27,4545.37,4547.12,4550.87,4590.64,4810.09,4817.87,4849.04,4856.57,5281.26,5624.87,6272.47,6423.5,6596.42,6771.81,6985.84,7314.0,7669.98
Singapore,152.9,152.9,152.9,152.9,152.9,152.9,152.9,152.9,153.18,129.9,131.4,133.0,136.2,172.2,208.72,251.12,307.02,327.12,380.42,478.62,531.02,693.52,846.22
Sri Lanka,1156.4,1168.34,1179.74,1255.75,1290.46,1302.53,1326.03,1333.47,1365.18,1402.32,1439.28,1470.31,1687.17,1728.93,1833.78,1877.7,1962.92,2060.82,2194.56,2334.14,2454.41,2720.42,2857.42
Tajikistan,4061.0,4061.0,4061.0,4061.0,4061.0,4116.2,4116.2,4116.2,4116.2,4802.58,4802.08,4809.49,4811.41,4814.45,5034.65,5033.06,5038.76,5038.76,5153.45,5273.45,5273.38,5274.48,5274.48
Thailand,3573.7,3573.7,3583.0,3589.3,3709.6,3733.5,4050.88,4388.62,4635.07,4721.4,4802.55,5048.25,5676.65,6677.15,7372.85,7902.3,9369.16,10147.5,11215.03,11699.64,11844.98,12197.15,12197.15
Timor Leste,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.39,0.43,0.47,0.78,1.1,1.07,1.05,1.02,1.01,0.7,0.7,0.7,0.69,0.69,0.8
Turkmenistan,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,2.2,2.2
Uzbekistan,1596.0,1596.0,1596.0,1599.0,1751.0,1709.0,1710.0,1710.0,1743.0,1742.8,1792.9,1787.9,1822.2,1823.0,1872.13,1881.53,1882.73,1861.45,1919.15,1911.75,2008.75,2156.25,2305.25
Viet Nam,3398.9,3934.11,4243.64,4295.71,4337.85,4393.98,4635.92,5039.02,6041.42,7322.12,8813.02,10240.52,13712.52,14900.52,15263.29,16207.69,17484.89,18217.09,18714.59,26077.04,38378.99,42727.49,45326.49
Anguilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,1.14,1.14,2.14,2.14,1.14,1.51,1.51,1.51,1.51
Antigua Barb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.3,0.4,0.4,3.4,3.51,4.31,8.71,8.71,16.86,16.86,16.86
Aruba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.1,30.3,31.0,31.6,36.9,38.1,38.1,38.1,45.6,45.6,45.6,45.6,45.6
Bahamas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,0.41,0.62,0.63,1.28,1.3,1.45,1.4,1.37,2.23,2.23,2.23,2.53
Barbados,0.04,0.14,0.14,0.14,0.14,0.24,0.24,0.64,0.64,0.84,1.04,1.29,1.54,0.47,1.33,3.13,15.0,16.46,17.31,33.27,49.21,63.99,70.04
Belize,27.17,27.17,27.17,27.17,27.17,34.47,34.47,37.97,37.97,65.47,65.47,65.47,65.48,65.48,65.97,65.97,65.97,73.98,93.46,99.02,99.02,99.02,99.02
BES Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,10.23,10.23,10.23,10.23,11.13,11.13,11.43,13.38,15.64,16.77,17.77,17.77,17.77,17.77
Br Virgin Is,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.52,0.52,0.52,0.52,1.29,1.45,1.45,1.46,1.78,1.98,1.98,1.98
Cayman Is,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75,8.77,9.92,11.09,12.74,13.7,13.7
Costa Rica,1425.25,1445.39,1491.09,1545.07,1567.65,1568.17,1676.69,1869.26,1887.55,1979.75,1968.0,2041.64,2153.36,2173.71,2245.09,2359.33,2894.21,3010.03,3075.02,3143.8,3124.4,3188.94,3138.1
Cuba,57.85,57.85,57.85,57.85,58.95,727.45,495.35,589.05,613.35,611.65,618.25,620.65,593.85,555.15,595.51,628.71,610.01,675.48,758.2,1085.01,1251.98,1280.96,1292.96
Curacao,12.03,12.03,12.03,12.03,12.03,12.03,12.03,12.03,12.03,12.03,12.03,12.03,30.13,33.13,37.73,40.13,41.13,58.38,59.18,62.08,63.38,63.38,63.38
Dominica,7.68,7.68,7.69,7.69,7.7,7.7,7.72,7.78,4.97,4.98,7.1,7.1,7.11,7.11,7.11,7.11,7.51,7.51,7.2,7.2,7.2,7.2,7.2
Dominican Rep,455.18,465.27,465.27,465.74,465.67,465.82,466.86,466.94,470.21,525.34,539.0,572.54,716.92,723.09,733.74,744.9,872.17,905.67,1052.92,1350.19,1428.32,1636.55,1832.92
El Salvador,575.95,638.07,657.57,703.97,689.97,720.0,731.73,802.63,799.65,819.15,819.92,892.22,949.68,974.11,1009.69,924.24,982.21,1168.79,1280.86,1486.26,1592.75,1774.8,1795.87
Grenada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.19,0.26,0.35,0.39,0.6,0.78,1.1,2.27,2.36,2.74,3.35,3.68,3.73,3.73
Guadeloupe,48.3,48.3,52.3,60.47,60.94,72.3,75.27,77.92,79.38,86.59,100.08,106.18,137.88,144.48,140.98,148.08,148.38,153.2,157.6,184.7,188.39,199.33,202.88
Guatemala,725.46,755.41,771.76,797.67,853.0,968.44,1103.68,1136.71,1181.8,1206.09,1311.0,1340.78,1514.73,1646.46,1774.76,2178.29,2667.11,2752.89,2862.5,2870.38,2870.33,2872.34,2877.64
Haiti,56.29,56.29,56.29,56.29,56.29,56.29,56.29,56.29,56.29,56.3,56.84,56.87,57.44,57.7,57.88,58.25,58.29,58.82,80.46,80.52,80.52,80.62,80.62
Honduras,438.3,438.5,473.98,483.34,508.69,537.97,565.55,590.71,607.01,621.49,621.71,773.16,751.45,839.4,905.41,1368.78,1476.19,1603.89,1701.49,1742.11,1861.13,1876.87,1876.98
Jamaica,55.23,54.83,53.73,53.73,74.63,74.63,75.03,75.23,75.43,76.33,94.83,95.33,95.63,103.14,105.14,107.54,188.64,216.64,216.64,253.64,253.64,253.64,253.69
Martinique,0.0,0.0,2.25,2.25,3.35,3.35,5.85,7.35,10.65,17.55,29.75,51.35,63.35,65.35,65.85,69.55,71.05,72.85,112.25,129.0,131.28,132.45,132.45
Montserrat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,1.0,1.0
Nicaragua,153.01,147.81,222.93,247.43,304.01,313.93,313.93,314.6,314.6,354.5,377.6,377.6,550.5,556.28,595.88,613.38,661.14,673.72,675.62,733.33,733.33,734.45,734.45
Panama,624.3,624.48,712.49,844.63,857.63,857.75,858.38,858.56,890.83,899.04,957.45,1382.26,1499.6,1547.82,1714.82,2053.02,2163.81,2226.61,2292.1,2313.52,2342.67,2553.89,2614.05
Puerto Rico,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,102.64,116.38,241.42,271.81,275.82,407.47,443.13,501.99,504.94,536.57,582.99,689.51,841.33
St Barth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.04,0.04,0.04
St Kitts Nevis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,2.2,2.2,2.95,2.95,2.95,3.45,3.45,3.45,3.45,4.45,4.45,4.45
St Lucia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.02,0.05,0.06,0.1,0.76,1.01,1.01,4.01,4.01,4.01,4.01,4.01
St Maarten,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
St Martin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.6,2.6,1.8,0.1,0.1,0.5,1.0,1.0,1.0
St Vincent Gren,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.65,5.7,6.07,6.07,6.39,6.84,6.91,6.91,7.89,8.8,9.39,9.39
Trinidad Tobago,5.34,5.67,5.88,6.22,6.66,6.76,6.99,7.11,2.27,2.53,2.83,2.83,4.0,4.0,4.0,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.01
Turks Caicos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.19,0.44,0.94,0.94,0.94,0.94
US Virgin Is,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.61,0.96,5.05,9.25,9.29,5.09,10.09,10.09,10.09,10.09,10.09
Armenia,1024.2,1012.5,1165.5,1169.8,1023.7,1029.34,1058.54,1068.94,1083.34,1097.84,1127.14,1152.24,1253.14,1291.64,1300.74,1289.3,1315.53,1332.13,1356.65,1389.33,1445.8,1556.16,1645.25
Azerbaijan,922.0,933.0,934.0,970.0,970.0,970.0,1025.0,1025.1,1025.1,989.1,997.3,1001.0,1026.0,1124.7,1120.1,1153.85,1183.65,1193.55,1276.75,1288.95,1295.55,1315.8,1339.0
Georgia,2560.74,2560.74,2560.74,2560.74,2560.74,2560.74,2584.74,2704.01,2713.26,2718.16,2702.42,2703.42,2709.87,2705.0,2380.0,2378.0,2450.39,2743.53,2716.01,2606.8,2753.14,3006.2,3127.2
Russian Fed,44716.83,45113.13,45260.13,45680.23,46061.9,46389.23,46710.23,47455.53,47749.25,47977.85,48062.86,48111.87,49822.94,50629.11,51580.7,51780.92,51786.92,52170.19,52613.92,53912.58,55219.45,56462.35,56880.23
Türkiye,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
