Region/country/area,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Jamaica,-18.36,44.94,41.0,-12.0,17.31,14.95,-6.44,-1.61,-18.14,11.08,-1.62,-1.08,-28.14,12.99,-8.2,-10.17,35.46,25.73,-23.41,-18.23,3.21,-18.76
Japan,-2894.0,-283.0,13863.0,-1311.0,-16498.0,11643.0,-14745.0,3349.0,1394.0,5235.0,1117.0,-8389.0,2862.0,4141.0,3586.0,-7634.0,4311.0,-2826.0,-976.0,-1186.0,-15.0,-1557.0
Jordan,4.0,10.0,-12.0,12.0,4.0,-6.0,10.0,1.0,-3.0,2.0,-6.0,6.0,-6.4,3.6,-5.7,-10.9,-3.6,-15.3,-4.3,-0.1,0.0,0.8
Kazakhstan,550.0,809.0,-290.0,-600.0,-100.0,-200.0,500.0,-800.0,-600.0,1222.02,-122.02,-300.0,131.0,531.83,1006.36,2351.57,-410.57,-814.84,-401.69,-333.34,-451.85,-8307.57
Kenya,-16.49,898.5,428.5,-125.94,-116.3,215.25,240.98,-219.27,-672.97,291.09,650.46,460.49,247.19,-511.85,-79.4,28.35,-256.31,200.8,234.64,212.24,-159.62,-760.78
Korea,141.0,-918.0,1669.0,-572.0,-657.0,-205.0,163.0,-561.0,-257.0,869.0,916.0,-629.0,320.0,-1537.0,-606.0,701.0,-27.0,539.0,-568.0,1086.0,-823.0,487.0
Kosovo,0.0,0.0,0.0,61.0,-1.0,-11.0,-7.0,-18.0,44.0,36.0,-51.37,-9.05,47.72,7.69,-11.06,105.33,-66.19,93.58,-59.73,49.91,34.13,-36.85
Kyrgyzstan,-1252.0,-1643.0,2217.0,1090.3,-113.9,-327.9,351.6,-3245.0,-661.1,1156.6,3054.5,-130.1,-1082.3,200.9,-2204.9,405.1,2705.7,114.8,-459.1,119.92,-1021.98,-1028.54
Lao PDR,-47.7,-162.3,-291.2,168.9,164.8,86.2,-222.3,344.4,-339.2,5068.5,4534.4,-222.9,2748.01,232.09,983.4,8135.71,6198.19,2675.67,-4761.38,3811.24,3946.23,2115.75
Latvia,13.95,-369.51,-197.41,843.19,215.91,-626.97,35.08,375.64,348.06,63.41,-633.54,819.99,-794.95,-918.37,-133.28,669.16,1851.1,-1949.05,-324.02,495.49,104.76,42.02
Lebanon,-111.8,346.04,586.84,-193.24,-25.16,-351.82,-108.96,-212.1,240.71,225.14,38.48,299.73,-131.95,-852.12,285.86,-97.1,32.52,-67.01,617.36,59.49,-354.51,30.0
Lesotho,3.88,26.8,10.32,-4.19,53.5,24.48,25.79,-3.97,1.92,-4.73,-11.14,-4.1,29.91,4.9,12.08,-22.34,-9.09,13.92,-124.28,34.66,105.08,-51.16
Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,103.0,0.0,0.0,0.0,0.0,0.0
Lithuania,-14.0,28.0,-29.0,96.0,30.0,-54.0,24.0,-19.0,22.0,116.0,-60.0,-57.0,98.0,-122.0,-50.0,105.0,148.4,-171.4,-85.6,-44.8,83.1,80.7
Luxembourg,-5.47,-18.3,-20.31,24.64,-11.12,18.37,5.39,15.41,-26.27,1.82,-44.66,35.3,20.9,-11.41,-8.54,16.16,-29.76,7.13,14.14,-15.32,15.21,-42.72
Madagascar,24.32,-28.56,76.58,24.8,10.9,-9.98,81.33,-19.43,42.28,-13.42,-19.92,64.89,-27.87,85.36,132.21,-47.92,-102.11,184.93,-80.3,-69.54,-50.57,55.12
Malawi,22.88,46.87,78.2,80.8,57.76,32.42,27.26,230.79,146.53,79.4,39.35,-11.06,-10.14,104.46,-10.36,-59.69,-308.47,-160.79,249.91,1.38,18.12,0.0
Malaysia,-928.0,-651.0,-325.0,483.05,434.01,316.02,-366.0,1850.07,-916.92,-528.86,1695.01,1195.0,2548.01,1741.64,1984.08,4833.13,6359.06,-421.01,-14.95,1021.0,0.0,0.0
Mali,115.0,428.17,293.32,-61.26,4.58,-8.58,37.59,33.7,-57.06,33.61,46.96,100.32,230.58,56.3,30.36,116.78,56.82,0.0,0.0,0.0,0.0,0.0
Martinique,,,,,,,,,,,,,,,,,,,,0.01,,
Mauritius,-24.83,15.04,31.91,4.5,-7.39,-38.24,7.22,24.18,14.37,-20.98,-44.24,17.59,21.46,-3.99,31.04,-22.38,-9.69,34.73,-25.9,17.2,-8.98,21.43
Mexico,-4631.0,-3551.0,-5071.0,5326.0,2503.0,2737.0,-3106.0,11854.0,-12476.0,10413.0,-884.0,-4364.0,-3881.0,10891.0,-8078.0,-117.0,1284.0,544.0,-8810.0,3101.0,6052.0,2982.0
Micronesia (Federated States of),0.0,0.0,,,,,,,,,,,,,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Moldova,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,-31.0,49.0,-50.8,-84.51,41.71,6.9,-51.73,-38.34,54.87,-12.87,25.3,-24.58,39.69,-38.34
Mongolia,1.46,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.94,15.52,17.69,-0.76,7.56,6.4,-6.47,25.4,-0.2,-5.8,6.7,-2.1,-0.2,-21.4
Montenegro,,,,,,-116.0,-466.0,255.0,532.0,679.0,-1546.15,273.24,1027.08,-752.52,-260.65,352.19,-819.29,1089.1,-479.5,-185.7,562.3,-566.0
Morocco,151.7,-20.3,599.1,150.2,-626.7,18.2,-81.0,14.0,1652.7,899.3,-1462.4,-374.4,1154.0,-1147.6,247.9,-629.6,-71.0,508.74,-430.66,-395.14,-49.33,-468.1
Mozambique,3005.0,833.0,-1804.0,798.0,1596.0,1453.0,1346.0,-948.25,1835.57,-308.62,-156.73,-1622.5,-199.43,1524.1,904.17,-1476.8,-1547.12,-157.63,918.89,884.96,-237.08,707.09
Myanmar,116.32,102.77,-36.21,332.94,593.09,323.83,294.06,452.7,1185.3,932.18,1356.01,222.17,3544.18,-1017.72,341.08,1487.35,1085.22,1436.09,-1750.51,-1721.39,715.7,-436.68
Namibia,13.0,139.5,-27.5,83.0,72.5,-57.0,-58.5,-360.0,-129.5,291.5,235.5,-66.5,-61.0,115.0,-63.0,46.5,-107.5,-320.5,180.5,7.4,-362.0,177.1
Nepal,208.71,249.2,188.7,143.24,161.34,166.7,137.65,31.54,-26.4,207.47,382.98,163.45,-24.61,110.42,-21.29,237.38,597.73,322.14,775.88,665.63,1731.35,2257.97
Netherlands,-25.15,-7.28,-38.0,23.0,-7.0,18.0,1.0,-5.0,-4.0,7.0,-48.0,47.39,9.92,-2.11,-19.5,7.38,-39.32,11.59,1.83,-28.11,42.17,-38.24
New Caledonia,-74.57,-46.52,2.68,2.42,13.76,-50.84,101.68,69.92,-61.64,-133.75,111.08,22.11,58.48,-167.11,51.19,-108.57,129.2,-43.8,-32.47,20.23,119.92,113.69
New Zealand,-2754.0,3191.0,-1250.0,3617.0,-3912.0,246.0,67.0,-1292.0,1869.0,509.0,384.0,-2214.0,133.0,1289.0,212.0,1405.0,-760.0,1079.0,-656.0,-1330.0,-34.0,2042.0
Nicaragua,-12.75,107.0,-5.83,23.55,112.08,-125.56,-1.48,227.88,-237.74,206.44,-59.45,-25.07,37.43,-60.18,-100.77,131.58,40.89,-56.69,-184.62,347.34,24.53,51.1
Nigeria,-248.07,196.96,1362.27,334.12,4983.31,-2479.34,-2814.85,-333.0,-4.0,-247.0,-1964.91,79.6,815.03,22.0,279.6,1727.06,-403.62,-51.93,738.35,-561.27,1281.9,81.54
North Macedonia,-544.0,131.0,617.0,107.99,9.79,157.81,-639.56,-169.94,430.26,1161.12,-998.35,-392.35,543.2,-377.32,658.54,32.15,-787.06,681.09,-627.7,113.47,174.48,-106.3
